epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,5558.35,1.12886,1.43272,1.24949,1.00527,0,0.7742,0.6,0.72224,0.43301,0.82477,0.65179,0.74451,0.43795,1.44093,1.84035,1.54426,1.28494,0,0.00093575,0.00093575,0.00093575
45,5683.11,1.21537,1.40611,1.15879,1.0583,0,0.71012,0.60304,0.75011,0.46803,0.74613,0.63305,0.76518,0.45339,1.36473,1.84173,1.31665,1.23077,0,0.000911,0.000911,0.000911
46,5806.91,1.15112,1.47974,1.19145,0.9776,0,0.81398,0.53855,0.74131,0.45468,0.73946,0.66154,0.76422,0.45279,1.35998,1.85881,1.36682,1.22529,0,0.00088625,0.00088625,0.00088625
47,5933.37,1.17838,1.44603,1.06781,1.04405,0,0.77166,0.56923,0.74386,0.45653,0.74908,0.64306,0.76311,0.43815,1.36896,1.90531,1.4059,1.2254,0,0.0008615,0.0008615,0.0008615
48,6060.43,1.16664,1.39379,1.15584,0.96206,0,0.82967,0.59951,0.72803,0.43619,0.73329,0.71911,0.75377,0.4405,1.47569,1.9644,1.48192,1.26711,0,0.00083675,0.00083675,0.00083675
49,6187.08,1.17482,1.43971,1.14443,1.01565,0,0.69526,0.73846,0.7731,0.46651,0.71425,0.76923,0.79771,0.45987,1.45174,1.89539,1.31615,1.26668,0,0.000812,0.000812,0.000812
50,6314.67,1.02495,1.2015,1.01017,0.91938,0,0.67933,0.63077,0.70893,0.42633,0.77462,0.66154,0.76196,0.44114,1.49716,2.01593,1.49609,1.28022,0,0.00078725,0.00078725,0.00078725
51,6443.08,1.16201,1.26347,1.1064,1.00001,0,0.67729,0.72308,0.7615,0.45921,0.68112,0.72308,0.77933,0.45946,1.45058,1.97046,1.31939,1.25778,0,0.0007625,0.0007625,0.0007625
52,6570.78,1.08222,1.34841,1.00455,0.96852,0,0.70334,0.72956,0.76934,0.45759,0.85768,0.64615,0.80115,0.46423,1.41782,1.88845,1.27925,1.23705,0,0.00073775,0.00073775,0.00073775
53,6699.88,1.1047,1.37382,0.98057,0.97128,0,0.80676,0.64234,0.77117,0.46918,0.84845,0.69231,0.8051,0.47073,1.36806,1.88148,1.25229,1.19928,0,0.000713,0.000713,0.000713
54,6827.55,1.0449,1.2878,0.92646,0.9119,0,0.79889,0.67233,0.76907,0.45629,0.82402,0.66154,0.78475,0.46258,1.42113,1.87827,1.29173,1.2258,0,0.00068825,0.00068825,0.00068825
55,6954.5,1.09303,1.35452,1.00277,0.96434,0,0.74965,0.64495,0.73008,0.44229,0.76616,0.65536,0.74122,0.43982,1.43704,1.94469,1.47192,1.27033,0,0.0006635,0.0006635,0.0006635
56,7080.32,0.98744,1.21769,0.97349,0.89766,0,0.86054,0.56923,0.74785,0.46093,0.76778,0.64615,0.75831,0.45657,1.40161,1.98,1.38281,1.21824,0,0.00063875,0.00063875,0.00063875
57,7209.21,1.10768,1.33532,1.0853,1.00266,0,0.65819,0.68142,0.74224,0.46521,0.67305,0.69681,0.76881,0.44878,1.41362,2.07245,1.38649,1.1935,0,0.000614,0.000614,0.000614
58,7338.8,1.04747,1.34309,1.15605,0.88776,0,0.78035,0.64615,0.78172,0.49184,0.79986,0.66154,0.80341,0.4845,1.40723,1.87808,1.25482,1.19591,0,0.00058925,0.00058925,0.00058925
59,7466.63,0.96746,1.26291,1.06806,0.88341,0,0.77308,0.62899,0.74825,0.45623,0.79199,0.64438,0.76591,0.4472,1.4228,1.89348,1.52767,1.23212,0,0.0005645,0.0005645,0.0005645
60,7593.06,1.01435,1.29061,1.00263,0.89729,0,0.75225,0.75385,0.80038,0.51397,0.79749,0.72706,0.81309,0.49434,1.39005,1.88979,1.29191,1.2116,0,0.00053975,0.00053975,0.00053975
61,7720.92,0.94993,1.18958,0.89057,0.85731,0,0.78856,0.74597,0.81105,0.52853,0.86149,0.76923,0.82773,0.50707,1.37294,1.88314,1.22904,1.20056,0,0.000515,0.000515,0.000515
62,7849.55,1.02252,1.20162,0.8669,0.93414,0,0.76878,0.7162,0.79998,0.49137,0.81466,0.74391,0.82072,0.48287,1.43949,1.92225,1.31823,1.23976,0,0.00049025,0.00049025,0.00049025
63,7978.09,1.07917,1.33914,1.08774,1.01851,0,0.78509,0.70769,0.78374,0.47675,0.81598,0.75044,0.8049,0.46931,1.41209,1.97292,1.32108,1.22824,0,0.0004655,0.0004655,0.0004655
64,8108.09,1.0465,1.35134,1.05734,0.97158,0,0.74179,0.70718,0.76601,0.45616,0.75793,0.72256,0.78502,0.46641,1.42256,2.01587,1.36308,1.23689,0,0.00044075,0.00044075,0.00044075
65,8236.87,1.00068,1.28362,0.86599,0.8887,0,0.69854,0.71304,0.77805,0.47616,0.77699,0.69231,0.79378,0.47824,1.38156,1.9148,1.26775,1.20677,0,0.000416,0.000416,0.000416
66,8363.85,1.04946,1.29402,0.81453,0.99239,0,0.67741,0.72308,0.77985,0.49308,0.73532,0.73846,0.79428,0.47951,1.3661,1.84007,1.28597,1.19016,0,0.00039125,0.00039125,0.00039125
67,8493.81,0.942,1.2025,0.82867,0.87663,0,0.67452,0.75385,0.78469,0.50205,0.7428,0.73846,0.7986,0.49122,1.36688,1.83286,1.30732,1.18319,0,0.0003665,0.0003665,0.0003665
68,8621.44,0.97791,1.19034,0.83379,0.88657,0,0.75499,0.66375,0.75971,0.48209,0.82426,0.67692,0.77894,0.46485,1.39777,1.85811,1.40235,1.20789,0,0.00034175,0.00034175,0.00034175
69,8748.64,0.92473,1.13998,0.80885,0.81951,0,0.70321,0.73846,0.7784,0.47817,0.91148,0.63367,0.79594,0.49233,1.41719,1.79748,1.32822,1.22332,0,0.000317,0.000317,0.000317
70,8876.84,0.9723,1.21679,0.87041,0.91994,0,0.83408,0.6961,0.78977,0.45926,0.83408,0.6961,0.79083,0.47688,1.42079,1.82261,1.32595,1.22537,0,0.00029225,0.00029225,0.00029225
71,9002.99,0.70955,0.89728,0.72659,0.66358,0,0.73626,0.66154,0.76176,0.46122,0.85135,0.66154,0.7784,0.45784,1.44173,1.9066,1.42015,1.24538,0,0.0002675,0.0002675,0.0002675
72,9131.83,0.82545,0.92214,0.78517,0.77062,0,0.75182,0.69231,0.77107,0.46994,0.77091,0.70769,0.78392,0.47171,1.43902,1.93206,1.43634,1.22677,0,0.00024275,0.00024275,0.00024275
73,9262.71,0.80454,1.04778,0.74107,0.76774,0,0.77698,0.69683,0.79562,0.49355,0.79331,0.70858,0.80547,0.48183,1.39436,1.88983,1.25538,1.18686,0,0.000218,0.000218,0.000218
74,9386.8,0.82123,1.04298,0.7126,0.78648,0,0.77791,0.72308,0.78467,0.49133,0.79446,0.73846,0.80079,0.48251,1.41465,1.9019,1.25066,1.20416,0,0.00019325,0.00019325,0.00019325
75,9510.5,0.76638,0.95952,0.68253,0.73335,0,0.76929,0.66154,0.77857,0.48327,0.87698,0.64615,0.79581,0.47979,1.40781,1.90837,1.3173,1.21796,0,0.0001685,0.0001685,0.0001685
76,9634.45,0.82704,1.02579,0.6967,0.78446,0,0.81695,0.66154,0.78495,0.48743,0.84417,0.66678,0.79969,0.47332,1.3887,1.86918,1.31567,1.2089,0,0.00014375,0.00014375,0.00014375
77,9762.18,0.76914,0.98162,0.68402,0.7444,0,0.77943,0.70676,0.79288,0.50512,0.91404,0.65441,0.80912,0.47829,1.38188,1.83919,1.25194,1.20769,0,0.000119,0.000119,0.000119
78,9895.59,0.71904,0.9093,0.60437,0.71775,0,0.78061,0.70769,0.7865,0.49553,0.8472,0.68247,0.80602,0.48532,1.39392,1.82246,1.27677,1.21693,0,9.425e-05,9.425e-05,9.425e-05
79,10020.1,0.73491,0.94796,0.62254,0.72565,0,0.78086,0.70769,0.78114,0.49263,0.86657,0.72308,0.79997,0.48044,1.40454,1.82714,1.33861,1.21489,0,6.95e-05,6.95e-05,6.95e-05
80,10145.1,0.73002,0.97099,0.60834,0.71688,0,0.81412,0.67692,0.78431,0.49206,0.85843,0.69231,0.80253,0.48674,1.40782,1.83017,1.36518,1.21401,0,4.475e-05,4.475e-05,4.475e-05
